"Name","Miles_per_Gallon","Cylinders","Displacement","Horsepower","Weight_in_lbs","Acceleration","Year","Origin"
"citroen ds-21 pallas",NA,4,133.0,115,3090,17.5,"1970-01-01","Europe"
"volkswagen 1131 deluxe sedan",26.0,4,97.0,46,1835,20.5,"1970-01-01","Europe"
"peugeot 504",25.0,4,110.0,87,2672,17.5,"1970-01-01","Europe"
"audi 100 ls",24.0,4,107.0,90,2430,14.5,"1970-01-01","Europe"
"saab 99e",25.0,4,104.0,95,2375,17.5,"1970-01-01","Europe"
"bmw 2002",26.0,4,121.0,113,2234,12.5,"1970-01-01","Europe"
"volkswagen super beetle 117",NA,4,97.0,48,1978,20.0,"1971-01-01","Europe"
"opel 1900",28.0,4,116.0,90,2123,14.0,"1971-01-01","Europe"
"peugeot 304",30.0,4,79.0,70,2074,19.5,"1971-01-01","Europe"
"fiat 124b",30.0,4,88.0,76,2065,14.5,"1971-01-01","Europe"
"volkswagen model 111",27.0,4,97.0,60,1834,19.0,"1971-01-01","Europe"
"volkswagen type 3",23.0,4,97.0,54,2254,23.5,"1972-01-01","Europe"
"volvo 145e (sw)",18.0,4,121.0,112,2933,14.5,"1972-01-01","Europe"
"volkswagen 411 (sw)",22.0,4,121.0,76,2511,18.0,"1972-01-01","Europe"
"peugeot 504 (sw)",21.0,4,120.0,87,2979,19.5,"1972-01-01","Europe"
"renault 12 (sw)",26.0,4,96.0,69,2189,18.0,"1972-01-01","Europe"
"volkswagen super beetle",26.0,4,97.0,46,1950,21.0,"1973-01-01","Europe"
"fiat 124 sport coupe",26.0,4,98.0,90,2265,15.5,"1973-01-01","Europe"
"fiat 128",29.0,4,68.0,49,1867,19.5,"1973-01-01","Europe"
"opel manta",24.0,4,116.0,75,2158,15.5,"1973-01-01","Europe"
"audi 100ls",20.0,4,114.0,91,2582,14.0,"1973-01-01","Europe"
"volvo 144ea",19.0,4,121.0,112,2868,15.5,"1973-01-01","Europe"
"saab 99le",24.0,4,121.0,110,2660,14.0,"1973-01-01","Europe"
"audi fox",29.0,4,98.0,83,2219,16.5,"1974-01-01","Europe"
"volkswagen dasher",26.0,4,79.0,67,1963,15.5,"1974-01-01","Europe"
"opel manta",26.0,4,97.0,78,2300,14.5,"1974-01-01","Europe"
"fiat 128",24.0,4,90.0,75,2108,15.5,"1974-01-01","Europe"
"fiat 124 tc",26.0,4,116.0,75,2246,14.0,"1974-01-01","Europe"
"fiat x1.9",31.0,4,79.0,67,2000,16.0,"1974-01-01","Europe"
"volkswagen dasher",25.0,4,90.0,71,2223,16.5,"1975-01-01","Europe"
"volkswagen rabbit",29.0,4,90.0,70,1937,14.0,"1975-01-01","Europe"
"audi 100ls",23.0,4,115.0,95,2694,15.0,"1975-01-01","Europe"
"peugeot 504",23.0,4,120.0,88,2957,17.0,"1975-01-01","Europe"
"volvo 244dl",22.0,4,121.0,98,2945,14.5,"1975-01-01","Europe"
"saab 99le",25.0,4,121.0,115,2671,13.5,"1975-01-01","Europe"
"fiat 131",28.0,4,107.0,86,2464,15.5,"1976-01-01","Europe"
"opel 1900",25.0,4,116.0,81,2220,16.9,"1976-01-01","Europe"
"renault 12tl",27.0,4,101.0,83,2202,15.3,"1976-01-01","Europe"
"vw rabbit",29.0,4,90.0,70,1937,14.2,"1976-01-01","Europe"
